# ----------------------------------------
# Mobile Data
# Active Users
# 20160801-20160831
# ----------------------------------------

Day Index,1 Day Active Users
8/1/16,752
8/2/16,814
8/3/16,765
8/4/16,848
8/5/16,883
8/6/16,823
8/7/16,744
8/8/16,720
8/9/16,726
8/10/16,757
8/11/16,784
8/12/16,800
8/13/16,752
8/14/16,790
8/15/16,804
8/16/16,813
8/17/16,814
8/18/16,864
8/19/16,912
8/20/16,815
8/21/16,996
8/22/16,"1,070"
8/23/16,898
8/24/16,"1,022"
8/25/16,906
8/26/16,863
8/27/16,905
8/28/16,954
8/29/16,"1,137"
8/30/16,940
8/31/16,894
,"26,565"

Day Index,7 Day Active Users
8/1/16,"2,407"
8/2/16,"2,438"
8/3/16,"2,416"
8/4/16,"2,450"
8/5/16,"2,506"
8/6/16,"2,505"
8/7/16,"2,465"
8/8/16,"2,421"
8/9/16,"2,373"
8/10/16,"2,388"
8/11/16,"2,360"
8/12/16,"2,355"
8/13/16,"2,355"
8/14/16,"2,363"
8/15/16,"2,438"
8/16/16,"2,485"
8/17/16,"2,522"
8/18/16,"2,568"
8/19/16,"2,620"
8/20/16,"2,640"
8/21/16,"2,769"
8/22/16,"2,897"
8/23/16,"2,912"
8/24/16,"3,078"
8/25/16,"3,069"
8/26/16,"3,026"
8/27/16,"3,083"
8/28/16,"3,054"
8/29/16,"3,016"
8/30/16,"3,040"
8/31/16,"2,966"
,"81,985"

Day Index,14 Day Active Users
8/1/16,"3,789"
8/2/16,"3,759"
8/3/16,"3,730"
8/4/16,"3,765"
8/5/16,"3,800"
8/6/16,"3,825"
8/7/16,"3,797"
8/8/16,"3,730"
8/9/16,"3,718"
8/10/16,"3,705"
8/11/16,"3,716"
8/12/16,"3,721"
8/13/16,"3,717"
8/14/16,"3,737"
8/15/16,"3,790"
8/16/16,"3,793"
8/17/16,"3,835"
8/18/16,"3,863"
8/19/16,"3,911"
8/20/16,"3,933"
8/21/16,"4,072"
8/22/16,"4,224"
8/23/16,"4,255"
8/24/16,"4,432"
8/25/16,"4,465"
8/26/16,"4,460"
8/27/16,"4,488"
8/28/16,"4,522"
8/29/16,"4,551"
8/30/16,"4,590"
8/31/16,"4,605"
,"124,298"

Day Index,30 Day Active Users
8/1/16,"6,647"
8/2/16,"6,606"
8/3/16,"6,557"
8/4/16,"6,531"
8/5/16,"6,571"
8/6/16,"6,571"
8/7/16,"6,499"
8/8/16,"6,463"
8/9/16,"6,393"
8/10/16,"6,382"
8/11/16,"6,362"
8/12/16,"6,376"
8/13/16,"6,374"
8/14/16,"6,411"
8/15/16,"6,433"
8/16/16,"6,448"
8/17/16,"6,469"
8/18/16,"6,473"
8/19/16,"6,535"
8/20/16,"6,593"
8/21/16,"6,709"
8/22/16,"6,811"
8/23/16,"6,834"
8/24/16,"6,956"
8/25/16,"7,003"
8/26/16,"7,013"
8/27/16,"7,061"
8/28/16,"7,107"
8/29/16,"7,116"
8/30/16,"7,145"
8/31/16,"7,169"
,"206,618"
